0,JavaScript,78340
1,Microsoft Office,70055
2,Git,69164
3,SQL,67018
4,HTML,65600
5,CSS,57032
6,Microsoft Excel,52279
7,Project Management,44968
8,MySQL,43097
9,Management,42151
10,JIRA,36500
11,HTML5,34005
12,English,33908
13,Менеджмент,32515
14,Photoshop,32455
15,jQuery,32255
16,Java,30760
17,Linux,30150
18,Управление проектами,29651
19,Microsoft Word,28637
20,Английский язык,28127
21,PHP,27804
22,Scrum,27240
23,C#,24928
24,Customer Service,24729
25,Strategic Planning,23224
26,Negotiation,22810
27,Research,22416
28,Communication,21478
29,Sales,20137
30,Leadership,19987
31,Python,19565
32,Продажи,18844
33,Marketing,18827
34,Agile Methodologies,18675
35,XML,18171
36,OOP,17677
37,Ведение переговоров,17657
38,PowerPoint,17480
39,Обслуживание клиентов,17329
40,PostgreSQL,17122
41,Коммуникация,17116
42,Business Strategy,16988
43,Marketing Strategy,16923
44,C\+\+,16892
45,Командная работа,16295
46,Sales Management,16136
47,Software Development,16102
48,Маркетинг,15559
49,Teamwork,15112
50,Microsoft SQL Server,15037
51,Manual Testing,14956
52,JSON,14924
53,React.js,14824
54,Стратегическое планирование,14814
55,Cascading Style Sheets,14405
56,Web Development,14311
57,AJAX,13991
58,Recruiting,13404
59,Node.js,13397
60,Team Management,13309
61,Social Media,13253
62,Business Development,13090
63,Adobe Photoshop,12883
64,Business Analysis,12757
65,WordPress,12650
66,Analytical Skills,12441
67,Project Planning,12214
68,Bootstrap,12206
69,Illustrator,12003
70,Social Media Marketing,11869
71,Обучение,11709
72,Public Speaking,11706
73,TypeScript,11581
74,Docker,11281
75,Team Leadership,11089
76,MongoDB,11005
77,Quality Assurance,10959
78,Google Analytics,10925
79,Test Cases,10852
80,Управление командой,10719
81,Strategy,10676
82,Windows,10553
83,Business Planning,10507
84,Digital Marketing,10315
85,Высшее руководство,9997
86,React,9978
87,Testing,9911
88,New Business Development,9787
89,Data Analysis,9528
90,.NET,9491
91,Market Research,9460
92,Управление продажами,9400
93,SASS,9382
94,Подбор персонала,9377
95,Object-Oriented Programming,9365
96,Социальные медиа,9223
97,Advertising,9211
98,Subversion,9143
99,Jira,9125
100,Public Relations,9112
101,Financial Analysis,8998
102,Web Design,8949
103,Spring Framework,8795
104,AutoCAD,8757
105,CRM,8720
106,Regression Testing,8670
107,Graphic Design,8630
108,Maven,8603
109,Analysis,8470
110,Развитие бизнеса,8438
111,Python,8428
112,REST,8376
113,Figma,8352
114,Teaching,8324
115,Product Management,8214
116,Hibernate,8071
117,Training,8038
118,Problem Solving,7918
119,Аналитический склад ума,7665
120,Анализ данных,7570
121,Design Patterns,7552
122,Решение задач,7525
123,Requirements Analysis,7447
124,Angular,7437
125,Engineering,7419
126,Event Management,7336
127,Научно-исследовательская деятельность,7268
128,Android,7189
129,AngularJS,7078
130,Redux,7004
131,Banking,7001
132,ASP.NET,6946
133,Human Resources,6916
134,ASP.NET MVC,6875
135,Test Planning,6868
136,Telecommunications,6843
137,Adobe Illustrator,6804
138,Visual Studio,6787
139,Budgets,6783
140,CSS3,6782
141,Графический дизайн,6668
142,Маркетинг в социальных сетях,6620
143,Amazon Web Services,6603
144,Marketing Communications,6595
145,Risk Management,6586
146,Account Management,6576
147,Time Management,6546
148,Стратегия,6532
149,Bash,6520
150,JUnit,6442
151,Databases,6418
152,C,6337
153,Jenkins,6333
154,Team Building,6306
155,Copywriting,6280
156,Online Advertising,6197
157,Functional Testing,6188
158,Translation,6145
159,ООП,6132
160,User Interface Design,6130
161,Стратегия ведения бизнеса,6059
162,Инженерное дело,6057
163,Product Development,6055
164,Online Marketing,5946
165,After Effects,5918
166,Change Management,5902
167,Google Adwords,5893
168,Аналитические навыки,5840
169,Test Automation,5702
170,Bug Tracking,5671
171,Искусство публичного выступления,5610
172,Django,5579
173,Веб-дизайн,5572
174,Реклама,5534
175,Accounting,5532
176,Selenium,5511
177,Laravel,5499
178,Windows Server,5496
179,Коммуникабельность,5470
180,Finance,5372
181,Russian,5344
182,E-commerce,5338
183,Start-ups,5327
184,Editing,5319
185,Apache,5188
186,Vue.js,5149
187,SEO,5107
188,Marketing Management,5082
189,Networking,5057
190,Тестирование,5050
191,Веб-разработка,5042
192,Интернет-маркетинг,5008
193,Планирование проектов,5004
194,Core Java,4982
195,Стратегии маркетинга,4979
196,Web Applications,4976
197,Бизнес-планирование,4887
198,Контроль качества,4886
199,Webpack,4883
200,Ручное тестирование,4843
201,Software Project Management,4834
202,Integration,4828
203,IT Recruitment,4782
204,Market Analysis,4774
205,Corporate Finance,4681
206,Ukrainian,4675
207,Sourcing,4622
208,System Administration,4616
209,Unix,4574
210,GitHub,4516
211,Web Services,4504
212,Confluence,4474
213,Programming,4446
214,Operations Management,4297
215,Financial Reporting,4275
216,Process Improvement,4260
217,.NET Framework,4247
218,Interviewing,4189
219,Contract Negotiation,4159
220,Event Planning,4143
221,Управление командами,4130
222,Active Directory,4045
223,Human Resources,4027
224,Postman,4026
225,Software Quality Assurance,4023
226,Mobile Applications,4021
227,Копирайтинг,4020
228,iOS,4015
229,Преподавание,4012
230,Формирование команды,4010
231,3D Studio Max,4000
232,Microsoft PowerPoint,3989
233,Entity Framework,3946
234,Coaching,3929
235,Forecasting,3898
236,Business Process,3889
237,TCP/IP,3883
238,Customer Relationship Management,3859
239,Talent Management,3854
240,Redis,3843
241,Executive Search,3821
242,PL/SQL,3791
243,FMCG,3766
244,Logistics,3759
245,Kanban,3742
246,Tomcat,3723
247,InDesign,3708
248,Ubuntu,3678
249,Technical Recruiting,3677
250,SCSS,3658
251,Troubleshooting,3648
252,Photography,3636
253,Figma,3630
254,Postman API,3608
255,Redux.js,3600
256,T-SQL,3596
257,SAP,3578
258,HR Consulting,3540
259,Logo Design,3534
260,Цифровой маркетинг,3534
261,Technical Support,3513
262,LINQ,3489
263,MVC,3476
264,Corporate Law,3469
265,Front-end Development,3466
266,Objective-C,3449
267,Trello,3446
268,International Relations,3427
269,Usability Testing,3418
270,Интернет-реклама,3384
271,Unit Testing,3359
272,Writing,3344
273,REST APIs,3344
274,JDBC,3341
275,User Experience,3339
276,Employee Relations,3333
277,Product Marketing,3310
278,Скрам,3310
279,Game Development,3309
280,Ruby on Rails,3291
281,Oracle,3275
282,UML,3254
283,Algorithms,3251
284,Управление персоналом,3239
285,Web Testing,3226
286,Android Development,3217
287,Финансы,3194
288,IT Management,3192
289,Software Testing,3178
290,Gulp,3163
291,Network Administration,3155
292,Ruby,3153
293,Outlook,3150
294,Eclipse,3121
295,HTML 5,3120
296,Nginx,3094
297,Retail,3091
298,Supply Chain Management,3065
299,Agile,3064
300,SDLC,3062
301,Java Enterprise Edition,3053
302,Performance Management,3048
303,React Native,3046
304,Management Consulting,3045
305,Agile Project Management,3031
306,Kotlin,3025
307,Web Analytics,3016
308,Разработка пользовательского интерфейса,3008
309,B2B,3005
310,Lead Generation,2996
311,Финансовый анализ,2995
312,Оптимизация для поисковых систем,2973
313,Organization Skills,2972
314,Организация рабочего времени,2954
315,Virtualization,2954
316,Kubernetes,2945
317,Установление деловых контактов,2923
318,Analytics,2916
319,Customer Support,2914
320,Mobile Testing,2914
321,Бухгалтерский учёт,2889
322,Email Marketing,2884
323,Machine Learning,2877
324,Adobe Creative Suite,2860
325,Screening Resumes,2857
326,Базы данных,2852
327,SQLite,2841
328,Программирование,2814
329,Interviews,2813
330,Budgeting,2792
331,Проведение собеседований,2792
332,Due Diligence,2782
333,Competitive Analysis,2780
334,Spring Boot,2770
335,WPF,2761
336,Unity,2756
337,Program Management,2754
338,3D Modeling,2720
339,ITIL,2715
340,Illustration,2704
341,Legal Advice,2696
342,Аналитика,2691
343,Auditing,2678
344,Search Engine Optimization,2674
345,Financial Modeling,2669
346,Информационные технологии,2666
347,VMware,2666
348,Github,2641
349,Retail Banking,2635
350,Economics,2625
351,Responsive Web Design,2624
352,Кадровое сопровождение,2620
353,Financial Accounting,2616
354,Mobile Devices,2612
355,Продажи и маркетинг,2603
356,Маркетинговая стратегия,2597
357,Test Driven Development,2567
358,Journalism,2558
359,Multithreading,2546
360,Бизнес-аналитика,2546
361,Presentation Skills,2542
362,JSP,2540
363,3D-моделирование,2539
364,ADO.NET,2533
365,Firebase,2532
366,Swift,2517
367,Связи с общественностью,2510
368,Cloud Computing,2509
369,Key Account Management,2508
370,Spring,2506
371,Test Design,2482
372,Регрессивное тестирование,2481
373,API Testing,2479
374,Corel Draw,2477
375,Разработка программного обеспечения,2467
376,Credit,2463
377,Logistics Management,2463
378,QA Engineering,2458
379,DNS,2458
380,Тестирование ПО,2453
381,TFS,2452
382,Презентации,2440
383,3D,2439
384,Investments,2429
385,GraphQL,2427
386,SMM,2426
387,Веб-программирование,2425
388,Software Development Life Cycle,2423
389,Procurement,2418
390,Express.js,2414
391,Selenium WebDriver,2410
392,Legal Research,2400
393,Black Box Testing,2399
394,Ansible,2399
395,IT Service Management,2398
396,Design,2395
397,Quality Control,2393
398,Creative Writing,2393
399,Pre-sales,2378
400,Foreign Languages,2367
401,Redmine,2363
402,LESS,2357
403,Manufacturing,2326
404,AWS,2320
405,Разработка продуктов,2318
406,Business Intelligence,2313
407,Internet Recruiting,2312
408,Information Technology,2309
409,Media Relations,2297
410,Microsoft Azure,2296
411,VoIP,2286
412,Управление бюджетом,2279
413,Business Process Improvement,2277
414,Функциональное тестирование,2264
415,Flask,2257
416,Разработка ПО,2254
417,Sales Operations,2252
418,Обучение персонала,2251
419,Business-to-Business,2250
420,Video Editing,2246
421,Screening,2244
422,SOAP,2243
423,Organizational Development,2232
424,Entrepreneurship,2232
425,Системное администрирование,2226
426,GSM,2224
427,Разработка логотипов,2222
428,Spring MVC,2218
429,Управление операциями,2216
430,Social Networking,2215
431,Tortoise SVN,2202
432,Prototyping,2199
433,Litigation,2191
434,Развитие нового бизнеса,2178
435,Brand Management,2177
436,Agile-менеджмент,2177
437,Facebook,2163
438,International Sales,2161
439,Xcode,2157
440,User Experience,2155
441,Legal Writing,2155
442,Wireframing,2152
443,REST API,2151
444,Дизайнерское искусство,2148
445,Video Production,2147
446,Банковское дело,2145
447,Magento,2143
448,Управление логистикой,2139
449,iOS Development,2134
450,Content Management,2133
451,Talent Acquisition,2131
452,Русский,2130
453,Consulting,2127
454,Техническая поддержка,2126
455,HR Policies,2126
456,Joomla,2108
457,SolidWorks,2097
458,Personnel Management,2092
459,Corporate Communications,2091
460,Presentations,2087
461,Project Coordination,2085
462,Credit Risk,2079
463,CMS,2076
464,Network Security,2069
465,BEM,2066
466,WCF,2063
467,Digital Media,2058
468,Drupal,2057
469,German,2057
470,RabbitMQ,2051
471,Android SDK,2044
472,Animation,2039
473,IP,2037
474,Lightroom,2035
475,.NET Core,2034
476,Служба поддержки,2032
477,Statistics,2032
478,Yii,2029
479,IntelliJ IDEA,2022
480,Поиск сотрудников,2020
481,Critical Thinking,2015
482,Digital Strategy,2013
483,IFRS,2000
484,ASP.NET Core,1999
485,International Law,1998
486,Тестовые сценарии,1987
487,Maya,1985
488,Linux System Administration,1976
489,Гибкая методология программирования,1975
490,Game Design,1972
491,Управление взаимодействием с корпоративными клиентами,1964
492,Purchasing,1959
493,Matlab,1956
494,Оптимизация бизнес-процессов,1954
495,Поисковая оптимизация,1951
496,Employer Branding,1948
497,Организаторские навыки,1947
498,Internal Controls,1938
499,Управление изменениями,1935
500,JMeter,1927
501,People Management,1926
502,Прямые продажи,1911
503,Terraform,1910
504,Commercial Litigation,1892
505,Shell Scripting,1891
506,Symfony,1889
507,Testrail,1875
508,Maritime,1875
509,DevOps,1857
510,Security,1849
511,ERP,1842
512,Onboarding,1841
513,Revit,1841
514,Анализ требований,1830
515,Интернет-коммерция,1829
516,Strategic Communications,1825
517,Software Design,1822
518,Sass,1811
519,Customer Satisfaction,1806
520,Управление продуктами,1792
521,Loans,1791
522,Performance Testing,1788
523,Microservices,1780
524,Совершенствование процессов,1769
525,Continuous Integration,1768
526,Письменный перевод,1767
527,Vue,1766
528,Видеомонтаж,1757
529,Отзывчивый веб-дизайн,1756
530,Continuous Improvement,1751
531,1C,1751
532,Mergers & Acquisitions,1743
533,Servlets,1741
534,Art Direction,1733
535,QA,1725
536,IT Strategy,1723
537,Qt,1707
538,Качество обслуживания клиентов,1707
539,Supply Chain,1706
540,Mentoring,1699
541,Организация мероприятий,1697
542,Direct Sales,1694
543,Trade Marketing,1692
544,Higher Education,1691
545,Servers,1690
546,Construction,1684
547,Управление мероприятиями,1684
548,Маркетинг на Facebook,1674
549,Video Games,1672
550,Веб-приложения,1665
551,International Business,1658
552,Образование,1658
553,Legal Assistance,1655
554,Unity3D,1654
555,Financial Risk,1651
556,Планирование тестирования,1650
557,Графика,1646
558,Psychology,1639
559,Автоматизация тестирования,1631
560,Телекоммуникации,1627
561,Веб-аналитика,1627
562,Information Security,1625
564,Gitlab,1611
565,Front-End Development,1611
566,Blogging,1610
567,Sketch,1607
568,Контент-маркетинг,1604
569,Shipping,1603
570,WinForms,1601
571,Intellectual Property,1587
572,PPC,1584
573,ASP.NET Web API,1581
574,Typography,1581
575,Pharmaceutical Industry,1581
576,Architecture,1576
577,Розничная торговля,1576
578,Transportation,1574
579,Proofreading,1573
580,Google Docs,1570
581,Boolean Searching,1567
582,Back-End Web Development,1550
583,Microsoft Project,1546
584,Product Design,1544
585,Adobe Premiere Pro,1542
586,Hiring,1540
587,SketchUp,1539
588,Manual testing,1533
589,Cisco Technologies,1532
590,Next.js,1528
591,Docker Products,1528
592,Contract Management,1525
593,NoSQL,1522
594,Судебный процесс,1519
595,Планирование,1515
596,Branding & Identity,1514
597,Maritime Operations,1509
598,SAP ERP,1503
599,Zend Framework,1501
600,Согласование условий контрактов,1499
601,Навыки презентаций,1499
602,Drawing,1498
603,Test Management,1497
604,Delphi,1496
605,jQuery UI,1493
606,Interaction Design,1491
607,Gradle,1490
608,Interior Design,1489
609,Разработка,1481
610,JPA,1475
611,Microsoft Power BI,1473
612,International Trade,1470
613,Usability,1469
614,Консультирование,1464
615,Salesforce.com,1463
616,Investment Banking,1462
617,Sales & Marketing,1460
618,Flutter,1457
619,Разработка Android-приложений,1456
620,Право,1452
621,Blender,1444
622,RESTful WebServices,1444
